id (0),miles remaining (1),idle hours remaining (2),current (retrofit 0),current (retrofit 1),current (retrofit 2),current (retrofit 3),current (retrofit 4),retrofit 0->0,retrofit 0->1,retrofit 0->2,retrofit 0->3,retrofit 0->4,retrofit 1->0,retrofit 1->1,retrofit 1->2,retrofit 1->3,retrofit 1->4,retrofit 2->0,retrofit 2->1,retrofit 2->2,retrofit 2->3,retrofit 2->4,retrofit 3->0,retrofit 3->1,retrofit 3->2,retrofit 3->3,retrofit 3->4,retrofit 4->0,retrofit 4->1,retrofit 4->2,retrofit 4->3,retrofit 4->4,retrofit 0->0,retrofit 0->1,retrofit 0->2,retrofit 0->3,retrofit 0->4,retrofit 1->0,retrofit 1->1,retrofit 1->2,retrofit 1->3,retrofit 1->4,retrofit 2->0,retrofit 2->1,retrofit 2->2,retrofit 2->3,retrofit 2->4,retrofit 3->0,retrofit 3->1,retrofit 3->2,retrofit 3->3,retrofit 3->4,retrofit 4->0,retrofit 4->1,retrofit 4->2,retrofit 4->3,retrofit 4->4,retrofit 0->0,retrofit 0->1,retrofit 0->2,retrofit 0->3,retrofit 0->4,retrofit 1->0,retrofit 1->1,retrofit 1->2,retrofit 1->3,retrofit 1->4,retrofit 2->0,retrofit 2->1,retrofit 2->2,retrofit 2->3,retrofit 2->4,retrofit 3->0,retrofit 3->1,retrofit 3->2,retrofit 3->3,retrofit 3->4,retrofit 4->0,retrofit 4->1,retrofit 4->2,retrofit 4->3,retrofit 4->4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
1,181466.262,867.255,4,0,0,0,0,0,1000,8000,16000,81345.76,40,0,8000,16000,81345.76,60,1000,0,16000,81345.76,80,1000,8000,0,81345.76,0,1000,8000,16000,0,0,1000,8000,16000,81345.75857,40,0,8000,16000,81345.75857,60,1000,0,16000,81345.75857,80,1000,8000,0,81345.75857,0,1000,8000,16000,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221,0.355,3.632,0.285,0.01768,0.213,3.632,0.1425,0.00221,0.05325,3.632,0.01425,0.00221,0.05325,3.632,0.01425,0.0221,0.355,3.632,0.285,0.9237,2.5175,14.9,2.2075,0.73896,1.5105,14.9,1.10375,0.09237,0.377625,14.9,0.110375,0.09237,0.377625,14.9,0.110375,0.9237,2.5175,14.9,2.2075
2,171527.262,819.755,8,0,0,0,0,0,1000,8000,16000,67770.64,40,0,8000,16000,67770.64,60,1000,0,16000,67770.64,80,1000,8000,0,67770.64,0,1000,8000,16000,0,0,1000,8000,16000,81345.75857,40,0,8000,16000,81345.75857,60,1000,0,16000,81345.75857,80,1000,8000,0,81345.75857,0,1000,8000,16000,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221,0.227,3.635,0.285,0.01768,0.1362,3.635,0.1425,0.00221,0.03405,3.635,0.01425,0.00221,0.03405,3.635,0.01425,0.0221,0.355,3.632,0.285,0.9237,2.5175,14.91,2.2075,0.73896,1.5105,14.91,1.10375,0.09237,0.377625,14.91,0.110375,0.09237,0.377625,14.91,0.110375,0.9237,2.5175,14.9,2.2075
3,161588.262,772.255,4,4,0,0,0,0,1000,8000,16000,56433.45,40,0,8000,16000,56433.45,60,1000,0,16000,56433.45,80,1000,8000,0,56433.45,0,1000,8000,16000,0,0,1000,8000,16000,81345.75857,40,0,8000,16000,81345.75857,60,1000,0,16000,81345.75857,80,1000,8000,0,81345.75857,0,1000,8000,16000,0,4,4,3,4,4,4,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1403,1.898,6.702,0.369,0.11224,1.1388,6.702,0.1845,0.01403,0.2847,6.702,0.01845,0.01403,0.2847,6.702,0.01845,0.0221,0.355,3.632,0.285,0.9237,21.04,27.495,2.855,0.73896,12.624,27.495,1.4275,0.09237,3.156,27.495,0.14275,0.09237,3.156,27.495,0.14275,0.9237,2.5175,14.9,2.2075
4,151649.262,724.755,4,4,1,1,0,0,1000,8000,16000,46965.26,40,0,8000,16000,46965.26,60,1000,0,16000,46965.26,80,1000,8000,0,46965.26,0,1000,8000,16000,0,0,1000,8000,16000,81345.75857,40,0,8000,16000,81345.75857,60,1000,0,16000,81345.75857,80,1000,8000,0,81345.75857,0,1000,8000,16000,0,4,4,3,4,4,4,4,3,4,4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.1403,1.917,6.706,0.371,0.11224,1.1502,6.706,0.1855,0.01403,0.28755,6.706,0.01855,0.01403,0.28755,6.706,0.01855,0.0221,0.355,3.632,0.285,0.9237,21.2575,27.5075,2.8725,0.73896,12.7545,27.5075,1.43625,0.09237,3.188625,27.5075,0.143625,0.09237,3.188625,27.5075,0.143625,0.9237,2.5175,14.9,2.2075
5,146518.8359,700.2359094,3,3,0,0,0,0,1000,8000,16000,39057.94,40,0,8000,16000,39057.94,60,1000,0,16000,39057.94,80,1000,8000,0,39057.94,0,1000,8000,16000,0,0,1000,8000,16000,81345.75857,40,0,8000,16000,81345.75857,60,1000,0,16000,81345.75857,80,1000,8000,0,81345.75857,0,1000,8000,16000,0,3,3,2,3,3,3,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1403,1.937,6.709,0.373,0.11224,1.1622,6.709,0.1865,0.01403,0.29055,6.709,0.01865,0.01403,0.29055,6.709,0.01865,0.0221,0.355,3.632,0.285,0.9237,21.4725,27.52,2.89,0.73896,12.8835,27.52,1.445,0.09237,3.220875,27.52,0.1445,0.09237,3.220875,27.52,0.1445,0.9237,2.5175,14.9,2.2075
6,136761.4623,653.6039297,3,3,1,1,0,0,1000,8000,16000,32454.19,40,0,8000,16000,32454.19,60,1000,0,16000,32454.19,80,1000,8000,0,32454.19,0,1000,8000,16000,0,0,1000,8000,16000,81345.75857,40,0,8000,16000,81345.75857,60,1000,0,16000,81345.75857,80,1000,8000,0,81345.75857,0,1000,8000,16000,0,3,3,2,3,3,3,3,2,3,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.1403,1.956,9.275,0.658,0.11224,1.1736,9.275,0.329,0.01403,0.2934,9.275,0.0329,0.01403,0.2934,9.275,0.0329,0.0221,0.355,3.632,0.285,0.9237,21.69,41.79,5.095,0.73896,13.014,41.79,2.5475,0.09237,3.2535,41.79,0.25475,0.09237,3.2535,41.79,0.25475,0.9237,2.5175,14.9,2.2075
7,133276.1711,636.9471906,3,3,0,0,0,0,1000,8000,16000,26939.09,40,0,8000,16000,26939.09,60,1000,0,16000,26939.09,80,1000,8000,0,26939.09,0,1000,8000,16000,0,0,1000,8000,16000,81345.75857,40,0,8000,16000,81345.75857,60,1000,0,16000,81345.75857,80,1000,8000,0,81345.75857,0,1000,8000,16000,0,3,3,2,3,3,3,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1403,1.976,11.119,0.661,0.11224,1.1856,11.119,0.3305,0.01403,0.2964,11.119,0.03305,0.01403,0.2964,11.119,0.03305,0.0221,0.355,3.632,0.285,0.9237,21.9075,46.5475,5.11,0.73896,13.1445,46.5475,2.555,0.09237,3.286125,46.5475,0.2555,0.09237,3.286125,46.5475,0.2555,0.9237,2.5175,14.9,2.2075
8,127309.7122,608.4325715,3,3,1,1,0,0,1000,8000,16000,22333.19,40,0,8000,16000,22333.19,60,1000,0,16000,22333.19,80,1000,8000,0,22333.19,0,1000,8000,16000,0,0,1000,8000,16000,81345.75857,40,0,8000,16000,81345.75857,60,1000,0,16000,81345.75857,80,1000,8000,0,81345.75857,0,1000,8000,16000,0,3,3,2,3,3,3,3,2,3,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.1403,1.995,11.736,0.663,0.11224,1.197,11.736,0.3315,0.01403,0.29925,11.736,0.03315,0.01403,0.29925,11.736,0.03315,0.0221,0.355,3.632,0.285,0.9237,22.125,48.1425,5.1275,0.73896,13.275,48.1425,2.56375,0.09237,3.31875,48.1425,0.256375,0.09237,3.31875,48.1425,0.256375,0.9237,2.5175,14.9,2.2075
9,121580.3033,581.0508509,3,3,0,0,0,0,1000,8000,16000,18486.6,40,0,8000,16000,18486.6,60,1000,0,16000,18486.6,80,1000,8000,0,18486.6,0,1000,8000,16000,0,0,1000,8000,16000,81345.75857,40,0,8000,16000,81345.75857,60,1000,0,16000,81345.75857,80,1000,8000,0,81345.75857,0,1000,8000,16000,0,3,3,2,3,3,3,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1403,2.015,11.739,0.665,0.11224,1.209,11.739,0.3325,0.01403,0.30225,11.739,0.03325,0.01403,0.30225,11.739,0.03325,0.0221,0.355,3.632,0.285,0.9237,22.3425,48.155,5.1425,0.73896,13.4055,48.155,2.57125,0.09237,3.351375,48.155,0.257125,0.09237,3.351375,48.155,0.257125,0.9237,2.5175,14.9,2.2075
10,116074.3755,554.7371805,2,2,1,1,0,0,1000,8000,16000,15274.13,40,0,8000,16000,15274.13,60,1000,0,16000,15274.13,80,1000,8000,0,15274.13,0,1000,8000,16000,0,0,1000,8000,16000,81345.75857,40,0,8000,16000,81345.75857,60,1000,0,16000,81345.75857,80,1000,8000,0,81345.75857,0,1000,8000,16000,0,2,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.1403,2.035,11.743,0.667,0.11224,1.221,11.743,0.3335,0.01403,0.30525,11.743,0.03335,0.01403,0.30525,11.743,0.03335,0.0221,0.355,3.632,0.285,0.9237,22.5575,48.17,5.16,0.73896,13.5345,48.17,2.58,0.09237,3.383625,48.17,0.258,0.09237,3.383625,48.17,0.258,0.9237,2.5175,14.9,2.2075
